σθ,σc,σt,SCF,B1,B2,Wet,MR
105.0,172.13114754098362,22.708594662398895,0.61,7.58,0.7668997668997669,7.27,3
105.0,238.63636363636363,17.768902727949637,0.44,13.43,0.8613998613998614,6.38,3
105.0,300.0,20.604395604395602,0.35,14.56,0.87146529562982,10.57,3
25.49,54.234042553191486,2.491228413100206,0.47,21.77,0.912165129556434,3.17,1
72.07,147.0816326530612,10.976241242765761,0.49,13.4,0.8611111111111113,6.53,2
21.8,155.7142857142857,5.06058777102001,0.14,30.77,0.9370475291155178,2.22,0
20.9,160.76923076923075,5.224869378265542,0.13,30.77,0.9370475291155178,2.22,0
12.1,151.25,4.9155021124471885,0.08,30.77,0.9370475291155177,9.0,0
75.0,170.45454545454547,11.333413926499034,0.44,15.04,0.8753117206982542,5.0,1
43.4,124.0,6.048780487804878,0.35,20.5,0.9069767441860465,5.0,1
62.6,164.73684210526315,9.386714649872545,0.38,17.55,0.8921832884097035,9.0,1
30.0,88.23529411764706,3.6810719281454762,0.34,23.97,0.919903884661594,6.6,1
105.0,128.0487804878049,12.947298330415054,0.82,9.89,0.8163452708907254,5.76,3
105.0,308.8235294117647,9.2656324455975,0.34,33.33,0.941741916690941,6.38,2
105.0,308.8235294117647,13.999253373153433,0.34,22.06,0.9132697311361666,6.38,3
7.5,53.57142857142857,3.812913065582104,0.14,14.05,0.8671096345514951,1.3,0
24.93,99.72,4.801155512758787,0.25,20.77,0.908130454754249,3.8,0
14.96,99.73333333333335,4.801797464291447,0.15,20.77,0.9081304547542491,3.8,0
157.6,271.7241379310345,20.58516196447231,0.58,13.2,0.8591549295774648,6.3,3
148.4,329.77777777777777,18.844444444444445,0.45,17.5,0.891891891891892,5.1,2
132.1,338.7179487179487,16.206600417126733,0.39,20.9,0.9086757990867581,4.6,2
167.2,253.33333333333331,19.19191919191919,0.66,13.2,0.8591549295774649,6.8,3
89.56,190.3,17.13,0.4706253284287966,11.109165207238764,0.8348358482379599,3.97,2
89.56,170.28,12.07,0.5259572468874795,14.107705053852527,0.8676172196325748,5.76,2
89.56,187.17,19.17,0.4784954853876156,9.763693270735523,0.8141901715615005,7.27,2
56.1,131.99,9.44,0.42503219940904613,13.98199152542373,0.8665063989252634,7.44,2
54.2,133.99,9.09,0.4045077990894843,14.740374037403742,0.8729382163824434,7.08,2
70.3,128.52,8.73,0.5469965764083411,14.721649484536083,0.8727868852459016,6.43,2
48.75,180.0,8.3,0.2708333333333333,21.686746987951807,0.9118428040361125,5.0,3
62.5,175.0,7.25,0.35714285714285715,24.137931034482758,0.9204389574759945,5.0,3
75.0,180.0,8.3,0.4166666666666667,21.686746987951807,0.9118428040361125,5.0,3
57.0,180.0,8.3,0.31666666666666665,21.686746987951807,0.9118428040361125,5.0,3
89.0,236.0,8.3,0.3771186440677966,28.433734939759034,0.9320507572656569,5.0,3
50.0,130.0,6.0,0.38461538461538464,21.666666666666668,0.9117647058823529,5.0,3
108.0,140.0,8.0,0.7714285714285715,17.5,0.8918918918918919,5.5,4
18.8,178.0,5.7,0.10561797752808989,31.228070175438596,0.9379422972237345,7.4,1
11.0,115.0,5.0,0.09565217391304348,23.0,0.9166666666666666,5.7,1
55.4,176.0,7.3,0.31477272727272726,24.10958904109589,0.9203491543917075,9.3,3
48.0,120.0,1.5,0.4,80.0,0.9753086419753086,5.8,3
63.0,115.0,1.5,0.5478260869565217,76.66666666666667,0.9742489270386266,5.7,3
49.5,110.0,1.5,0.45,73.33333333333333,0.9730941704035875,5.7,3
30.9,82.56,6.5,0.3742732558139535,12.701538461538462,0.8540309903435886,3.2,2
89.0,128.6,13.2,0.6920684292379472,9.742424242424242,0.8138222849083216,4.9,4
12.3,237.1,17.66,0.051876845212990304,13.425821064552661,0.8613597111006438,6.9,4
